,Estimated Earnings,Actual Earnings,Evenly Weighted Avg,Transaction Costs,Strategy Portfolio Growth,Avg Mean Portfolio Growth,Percentage Growth Difference,Strategy Annual Return,Avg Mean Annual Return,Annual Return Diference
2018-05-29,0.008001800623913452,0.0101967116482943,2.4435713983773392e-05,0.0008,0.6608572117999252,0.9998485117869795,-0.33904266095389995,-0.18531692298049374,-0.0006260455144800847,-0.18469087746601365
2018-05-30,0.01144618780909603,0.0434114683181138,7.007738000170611e-05,0.0008,0.6895459937127746,0.9999185785510842,-0.3103978578816387,-0.2511587275273682,-0.0008233801660785263,-0.25033534736128965
2018-05-31,0.009730940251346694,-0.0026508339565233627,2.228004982146083e-05,0.0008,0.6877181217780561,0.9999408567868319,-0.31224120195674293,-0.2677721266178976,-0.0009455471298738132,-0.2668265794880238
2018-06-01,0.009470345379633736,0.000790484971609761,-2.239943834122559e-05,0.0008,0.6882617526180255,0.9999184586732653,-0.311682121028908,-0.28937399692623517,-0.0010046542405510895,-0.2883693426856841
2018-06-04,0.008850632855449484,-0.03737780064219548,-4.79510551699056e-05,0.0008,0.6625360420390208,0.9998705115280881,-0.3373781560709534,-0.2762844957917277,-0.0010262996495165736,-0.27525819614221114
2018-06-05,0.008747051826503649,-0.004820462982973316,-5.116278384582788e-05,0.0008,0.6593423115734861,0.9998193553692329,-0.34053856025822665,-0.28726727458863743,-0.0010173139004494398,-0.286249960688188
2018-06-06,0.008037572939243736,-0.005520425140215428,-7.188093849546119e-05,0.0008,0.655702461700668,0.9997474874156431,-0.3441319233563015,-0.29253674979338423,-0.0009602520342258574,-0.2915764977591584
2018-06-07,0.00907484457939507,-0.031565226572350655,-9.788537340494016e-05,0.0008,0.6350050649330384,0.9996496267595268,-0.36477236830320586,-0.2812031669739516,-0.0008954395809825935,-0.280307727392969
2018-06-08,0.009085522084524802,-0.03093480987450487,-6.839993431640335e-05,0.0008,0.6153613039799872,0.999581250790717,-0.38438090601118546,-0.2739639240166382,-0.0008730879109413927,-0.27309083610569684
2018-06-11,0.008949238794679524,-0.03974066885023021,-7.564274307218529e-05,0.0008,0.5909064341752727,0.9995056397229837,-0.40880130067195586,-0.2359007123377599,-0.0008136872803355552,-0.23508702505742432
2018-06-12,0.009021026108005833,-0.0312472685026353,-8.363818995939338e-05,0.0008,0.5724422221666632,0.999422042880423,-0.42722673944949835,-0.21943033892141434,-0.0007238501168664123,-0.21870648880454793
2018-06-13,0.008474061975693127,-0.03182900072417883,-8.523352254043279e-05,0.0008,0.5542219582627699,0.9993368586192037,-0.44541027033812675,-0.1780121761130057,-0.0006330180735024214,-0.1773791580395033
2018-06-14,0.008045249223269466,-0.028567564397310678,-0.0001143733538918502,0.0008,0.5383891867796946,0.9992225611110157,-0.4611919228674437,-0.15761072637685677,-0.0004576505041714087,-0.15715307587268537
2018-06-15,0.009852018255254745,-0.04091591725899401,-0.0001273947268188123,0.0008,0.5163604993602795,0.9990952654258118,-0.483171908396335,-0.08700186736741217,-0.00027337943052825673,-0.08672848793688391
2018-06-18,0.009271883270683874,-0.024777498627897507,-9.999031084964715e-05,0.0008,0.5035663777958798,0.9989953655796535,-0.49592721333227385,-0.06382288195772591,-0.00011980232696177434,-0.06370307963076413
2018-06-19,0.010037450540118658,-0.028734403451878793,-8.156116525359774e-05,0.0008,0.4890966983314917,0.9989138863535539,-0.5103715094832693,0.02159765701301319,5.5921100173490944e-05,0.0215417359128397
